foret,numero,code_essence,zone_h,x,y,lng,dm,lac
50001,234,19,30N,219066,581132,1300,76,O
50001,235,19,30N,219079,581442,1400,90,
50001,236,19,30N,218930,581071,1000,60,O
50001,237,19,30N,218907,581082,1500,76,O
50001,238,19,30N,219289,581131,1500,76,O
50001,239,19,30N,219399,581181,850,128,
50001,240,19,30N,219208,581115,1280,76,
50001,241,19,30N,219181,581107,1040,60,
50001,242,19,30N,219177,581098,1240,84,O
50001,243,19,30N,219119,581079,1140,100,O
50001,244,19,30N,219327,581290,1080,134,
50001,245,19,30N,219410,580435,1260,80,
50001,246,19,30N,219330,580430,980,78,O
50001,247,19,30N,219314,580446,1240,50,O
50001,248,19,30N,219408,580508,1050,79,O
50001,249,19,30N,219392,580469,1100,76,O
50001,250,19,30N,219388,580481,1060,76,
50001,251,19,30N,219385,580415,1150,107,O
50001,252,19,30N,219653,580076,1000,88,O
50001,253,19,30N,219352,580306,1150,55,
50001,254,19,30N,219461,580341,1000,110,
50001,255,19,30N,219355,580240,1100,50,
50001,256,19,30N,220531,576962,1080,132,
50001,257,19,30N,220608,577021,1000,125,
50001,258,19,30N,220387,577095,780,94,
50001,259,19,30N,220591,576982,1200,94,O
50001,260,19,30N,220518,577579,1000,76,O
50001,261,19,30N,220189,577814,570,90,O
50001,262,19,30N,220200,577844,980,120,O
50001,263,19,30N,220339,577591,800,85,O
50001,264,19,30N,220100,577530,1400,76,O
50001,265,19,30N,220130,578018,1030,76,
50001,266,19,30N,220200,577806,1470,76,O
50001,267,19,30N,220318,577134,1200,55,
50001,268,19,30N,220327,577969,1350,76,O
50001,269,19,30N,220391,578038,1400,76,O
50001,270,19,30N,221359,577147,1100,76,O
50001,271,19,30N,212118,576390,1200,50,
50001,272,19,30N,212488,576320,1360,55,O
50001,273,19,30N,212566,576466,1170,58,
50001,274,19,30N,212507,576227,1100,90,
50001,275,19,30N,212153,576492,1180,55,O
50001,276,19,30N,212038,576392,1300,82,O
50001,277,19,30N,211424,576239,1100,95,O
