foret,numero,code_essence,zone_h,x,y,lng,dm,lac
14260,64,19,30N,362126,697084,1500,76,O
14260,65,991,30N,362170,697049,1200,70,O
14260,66,991,30N,362183,697034,1200,50,O
14260,67,19,30N,362034,696959,1260,84,
14260,68,39,30N,362047,696955,1100,45,
14260,69,19,30N,362164,696942,1400,92,O
14260,70,19,30N,362099,696940,1500,76,
14260,71,991,30N,362077,696932,1380,90,
14260,72,991,30N,362082,696929,930,70,
14260,73,19,30N,362161,696838,950,120,O
14260,74,19,30N,363863,696737,1340,76,O
14260,75,991,30N,362800,696732,1230,57,O
14260,76,19,30N,362001,696722,1060,90,
14260,77,19,30N,362060,696712,1060,90,
14260,78,19,30N,362059,696710,820,90,
14260,79,19,30N,362069,696696,1350,76,
14260,80,24,30N,362803,696691,1500,50,O
14260,81,19,30N,361345,696690,1400,85,
14260,82,ASA,30N,362808,696686,1000,60,O
14260,83,19,30N,362812,696684,920,80,O
14260,84,19,30N,362425,696680,1100,100,O
14260,85,19,30N,362390,696680,800,90,O
14260,86,19,30N,362380,696675,1280,76,O
14260,87,37,30N,361365,696675,1500,57,
14260,88,19,30N,362071,696672,1220,120,
14260,89,995,30N,362106,696671,1500,57,
14260,90,19,30N,362420,696670,1100,57,O
14260,91,37,30N,361363,696668,1390,57,
14260,92,37,30N,361350,696665,1380,57,
14260,93,991,30N,361350,696662,1270,70,
14260,94,19,30N,362402,696661,1390,76,O
14260,95,995,30N,362107,696659,1380,80,
14260,96,19,30N,362381,696657,1100,100,O
14260,97,19,30N,362412,696646,770,90,O
14260,98,24,30N,361379,696646,1500,57,
14260,99,39,30N,361366,696643,1500,57,
14260,100,19,30N,362420,696635,1100,120,O
14260,101,19,30N,362864,696634,1500,80,O
14260,102,19,30N,362416,696628,1200,100,O
14260,103,19,30N,362415,696625,1000,100,O
14260,104,19,30N,362420,696622,1200,80,O
14260,105,19,30N,364052,696611,1000,130,O
14260,106,19,30N,364042,696600,1300,80,O
14260,107,24,30N,362067,696600,1380,65,
14260,108,991,30N,361358,696595,1500,76,
14260,109,19,30N,362570,696585,1340,67,O
14260,110,19,30N,361428,696584,1200,87,
14260,111,19,30N,361368,696584,1310,76,
14260,112,19,30N,361419,696573,1500,76,
14260,113,19,30N,362550,696570,1350,82,O
14260,114,19,30N,362540,696565,1400,77,O
14260,115,24,30N,362057,696560,1270,70,
14260,116,24,30N,362891,696550,1400,55,O
14260,117,IOL,30N,362902,696538,1400,57,O
