foret,numero,code_essence,zone_h,x,y,lng,dm,lac
10530,FROMAGER,19,30N,360068,674288,970,100,O
10530,FROMAGER,19,30N,360124,674302,1100,75,O
10530,FROMAGER,19,30N,583425,607122,1000,105,O
10530,FROMAGER,19,30N,583450,607255,1300,100,O
10530,FROMAGER,19,30N,583512,607060,1030,70,O
10530,FROMAGER,19,30N,583360,607238,1360,100,O
10530,FROMAGER,19,30N,583512,607060,1300,90,O
10530,FROMAGER,19,30N,583620,607118,1300,84,O
10530,FROMAGER,19,30N,360229,674331,980,98,O
10530,FROMAGER,19,30N,360229,674331,960,85,O
10530,FROMAGER,19,30N,360248,674331,1000,125,O
10530,FROMAGER,19,30N,360103,674245,1100,114,O
10530,FROMAGER,19,30N,360103,674245,800,99,O
10530,FROMAGER,19,30N,360253,674329,1200,91,O
10530,FROMAGER,19,30N,583526,607223,1000,100,O
10530,FROMAGER,19,30N,583651,607356,830,99,O
10530,FROMAGER,19,30N,583714,607561,1350,87,O
10530,FROMAGER,19,30N,583913,607842,1270,86,O
10530,FROMAGER,19,30N,583029,607020,940,103,O
10530,FROMAGER,19,30N,583150,606436,1200,69,O
10530,FROMAGER,19,30N,583318,607445,1100,81,O
10530,FROMAGER,19,30N,583815,607647,1350,74,O
10530,FROMAGER,19,30N,339799,820331,780,112,O
10530,FROMAGER,19,30N,338862,819696,1300,106,O
10530,FROMAGER,19,30N,338870,819707,1120,95,O
10530,FROMAGER,19,30N,198666,788542,550,90,O
10530,FROMAGER,19,30N,338986,819789,1050,76,O
10530,FROMAGER,19,30N,198676,788511,800,82,O
10530,FROMAGER,19,30N,198835,788333,900,95,O
10530,FROMAGER,19,30N,198853,788316,900,80,O
10530,FROMAGER,19,30N,339867,819708,1056,87,O
10530,FROMAGER,19,30N,338893,819774,1300,87,O
10530,FROMAGER,19,30N,338896,819768,940,86,O
10530,FROMAGER,19,30N,338903,819787,1250,77,O
10530,FROMAGER,19,30N,388927,819790,930,90,O
10530,FROMAGER,19,30N,338912,819330,950,97,O
10530,FROMAGER,19,30N,338756,820199,980,87,O
10530,FROMAGER,19,30N,338807,820241,970,79,O
10530,FROMAGER,19,30N,338837,820222,1250,88,O
10530,FROMAGER,19,30N,338880,820304,1000,79,O
10530,FROMAGER,19,30N,583512,607060,1300,90,O
10530,FROMAGER,19,30N,583620,607118,1300,84,O
10530,FROMAGER,19,30N,338895,820092,1200,89,O
10530,FROMAGER,19,30N,338871,812978,1300,86,O
10530,FROMAGER,19,30N,338872,819976,1200,85,O
10530,FROMAGER,19,30N,198998,797946,900,80,O
10530,FROMAGER,19,30N,338777,819225,1040,87,O
10530,FROMAGER,19,30N,338775,818799,880,85,O
10530,FROMAGER,19,30N,338663,819243,1000,96,O
10530,FROMAGER,19,30N,199114,787869,950,95,O
10530,FROMAGER,19,30N,199183,787982,1080,90,O
10530,FROMAGER,19,30N,338636,819251,840,77,O
10530,FROMAGER,19,30N,339931,819727,1140,113,O
